,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,0,3,0,22.0,1,0,7.25,1
1,1,1,1,38.0,1,0,71.2833,2
2,1,3,1,26.0,0,0,7.925,1
3,1,1,1,35.0,1,0,53.1,1
4,0,3,0,35.0,0,0,8.05,1
5,0,3,0,,0,0,8.4583,3
6,0,1,0,54.0,0,0,51.8625,1
7,0,3,0,2.0,3,1,21.075,1
8,1,3,1,27.0,0,2,11.1333,1
9,1,2,1,14.0,1,0,30.0708,2
10,1,3,1,4.0,1,1,16.7,1
11,1,1,1,58.0,0,0,26.55,1
12,0,3,0,20.0,0,0,8.05,1
13,0,3,0,39.0,1,5,31.275,1
14,0,3,1,14.0,0,0,7.8542,1
15,1,2,1,55.0,0,0,16.0,1
16,0,3,0,2.0,4,1,29.125,3
17,1,2,0,,0,0,13.0,1
18,0,3,1,31.0,1,0,18.0,1
19,1,3,1,,0,0,7.225,2
20,0,2,0,35.0,0,0,26.0,1
21,1,2,0,34.0,0,0,13.0,1
22,1,3,1,15.0,0,0,8.0292,3
23,1,1,0,28.0,0,0,35.5,1
24,0,3,1,8.0,3,1,21.075,1
25,1,3,1,38.0,1,5,31.3875,1
26,0,3,0,,0,0,7.225,2
27,0,1,0,19.0,3,2,263.0,1
28,1,3,1,,0,0,7.8792,3
29,0,3,0,,0,0,7.8958,1
30,0,1,0,40.0,0,0,27.7208,2
31,1,1,1,,1,0,146.5208,2
32,1,3,1,,0,0,7.75,3
33,0,2,0,66.0,0,0,10.5,1
34,0,1,0,28.0,1,0,82.1708,2
35,0,1,0,42.0,1,0,52.0,1
36,1,3,0,,0,0,7.2292,2
37,0,3,0,21.0,0,0,8.05,1
38,0,3,1,18.0,2,0,18.0,1
39,1,3,1,14.0,1,0,11.2417,2
40,0,3,1,40.0,1,0,9.475,1
41,0,2,1,27.0,1,0,21.0,1
42,0,3,0,,0,0,7.8958,2
43,1,2,1,3.0,1,2,41.5792,2
44,1,3,1,19.0,0,0,7.8792,3
45,0,3,0,,0,0,8.05,1
46,0,3,0,,1,0,15.5,3
47,1,3,1,,0,0,7.75,3
48,0,3,0,,2,0,21.6792,2
49,0,3,1,18.0,1,0,17.8,1
50,0,3,0,7.0,4,1,39.6875,1
51,0,3,0,21.0,0,0,7.8,1
52,1,1,1,49.0,1,0,76.7292,2
53,1,2,1,29.0,1,0,26.0,1
54,0,1,0,65.0,0,1,61.9792,2
55,1,1,0,,0,0,35.5,1
56,1,2,1,21.0,0,0,10.5,1
57,0,3,0,28.5,0,0,7.2292,2
58,1,2,1,5.0,1,2,27.75,1
59,0,3,0,11.0,5,2,46.9,1
60,0,3,0,22.0,0,0,7.2292,2
61,1,1,1,38.0,0,0,80.0,-99
62,0,1,0,45.0,1,0,83.475,1
63,0,3,0,4.0,3,2,27.9,1
64,0,1,0,,0,0,27.7208,2
65,1,3,0,,1,1,15.2458,2
66,1,2,1,29.0,0,0,10.5,1
67,0,3,0,19.0,0,0,8.1583,1
68,1,3,1,17.0,4,2,7.925,1
69,0,3,0,26.0,2,0,8.6625,1
70,0,2,0,32.0,0,0,10.5,1
71,0,3,1,16.0,5,2,46.9,1
72,0,2,0,21.0,0,0,73.5,1
73,0,3,0,26.0,1,0,14.4542,2
74,1,3,0,32.0,0,0,56.4958,1
75,0,3,0,25.0,0,0,7.65,1
76,0,3,0,,0,0,7.8958,1
77,0,3,0,,0,0,8.05,1
78,1,2,0,0.83,0,2,29.0,1
79,1,3,1,30.0,0,0,12.475,1
80,0,3,0,22.0,0,0,9.0,1
81,1,3,0,29.0,0,0,9.5,1
82,1,3,1,,0,0,7.7875,3
83,0,1,0,28.0,0,0,47.1,1
84,1,2,1,17.0,0,0,10.5,1
85,1,3,1,33.0,3,0,15.85,1
86,0,3,0,16.0,1,3,34.375,1
87,0,3,0,,0,0,8.05,1
88,1,1,1,23.0,3,2,263.0,1
89,0,3,0,24.0,0,0,8.05,1
90,0,3,0,29.0,0,0,8.05,1
91,0,3,0,20.0,0,0,7.8542,1
92,0,1,0,46.0,1,0,61.175,1
93,0,3,0,26.0,1,2,20.575,1
94,0,3,0,59.0,0,0,7.25,1
95,0,3,0,,0,0,8.05,1
96,0,1,0,71.0,0,0,34.6542,2
97,1,1,0,23.0,0,1,63.3583,2
98,1,2,1,34.0,0,1,23.0,1
99,0,2,0,34.0,1,0,26.0,1
100,0,3,1,28.0,0,0,7.8958,1
101,0,3,0,,0,0,7.8958,1
102,0,1,0,21.0,0,1,77.2875,1
103,0,3,0,33.0,0,0,8.6542,1
104,0,3,0,37.0,2,0,7.925,1
105,0,3,0,28.0,0,0,7.8958,1
106,1,3,1,21.0,0,0,7.65,1
107,1,3,0,,0,0,7.775,1
108,0,3,0,38.0,0,0,7.8958,1
109,1,3,1,,1,0,24.15,3
110,0,1,0,47.0,0,0,52.0,1
111,0,3,1,14.5,1,0,14.4542,2
112,0,3,0,22.0,0,0,8.05,1
113,0,3,1,20.0,1,0,9.825,1
114,0,3,1,17.0,0,0,14.4583,2
115,0,3,0,21.0,0,0,7.925,1
116,0,3,0,70.5,0,0,7.75,3
117,0,2,0,29.0,1,0,21.0,1
